"Geo ID","Geography","DP05_C255","DP05_C279","DP05_C283","DP05_C287","DP05_C291","DP05_C295","DP05_C299","DP05_C303","S2301_C7","DP03_C89","DP03_C231","DP03_C438","S0701_C3","S0701_C5","S0701_C7","S0701_C9","DP02_C3","DP02_C34","B05001_B05001_1_EST","B05001_B05001_6_EST","B01001_B01001_1_EST","B01001_B01001_6_EST","B01001_B01001_7_EST","B01001_B01001_8_EST","B01001_B01001_9_EST","B01001_B01001_10_EST","S1501_C79"
"County ID","County","Percent: HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone","Percent: HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races","Unemployment rate: Estimate: Population 16 years and over","Estimate: COMMUTING TO WORK - Mean travel time to work (minutes)","Estimate: INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)","Percent: PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people","Moved; within same county: Estimate: Population 1 year and over","Moved; from different county, same state: Estimate: Population 1 year and over","Moved; from different  state: Estimate: Population 1 year and over","Moved; from abroad: Estimate: Population 1 year and over","Percent: HOUSEHOLDS BY TYPE - Total households","Percent: HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children under 18 years","Estimate: Total:","Estimate: Total: - Not a U.S. citizen","Estimate: Total:","Estimate: Male: - 15 to 17 years","Estimate: Male: - 18 and 19 years","Estimate: Male: - 20 years","Estimate: Male: - 21 years","Estimate: Male: - 22 to 24 years","Total: Estimate: Percent high school graduate or higher"
"0500000US01001","Autauga County, Alabama","2.5","76.5","18.2","0.3","1.0","0.0","0.2","1.4","9.4","26.2","53682","12.1","7.0","4.4","3.5","0.1","20071","8.2","54907","602","54907","1336","833","482","339","859","85.6"
"0500000US01003","Baldwin County, Alabama","4.4","83.4","9.4","0.6","0.7","0.0","0.1","1.4","9.2","25.9","50221","13.9","10.1","3.2","4.1","0.5","73283","6.0","187114","4519","187114","3883","2254","889","848","3366","89.1"
"0500000US01005","Barbour County, Alabama","4.9","46.3","46.3","0.2","0.2","0.0","0.4","1.7","14.3","24.6","32911","26.7","6.5","6.0","2.4","0.4","9200","10.9","27321","718","27321","521","316","183","144","816","73.7"
"0500000US01007","Bibb County, Alabama","1.9","74.9","21.7","0.5","0.1","0.0","0.0","1.0","12.2","27.6","36447","18.1","7.0","5.1","1.1","0.3","7091","8.3","22754","222","22754","603","437","82","216","471","77.5"
"0500000US01009","Blount County, Alabama","8.3","88.4","1.4","0.2","0.1","0.0","0.1","1.6","9.7","33.9","44145","15.8","5.5","4.3","1.3","0.2","21108","5.8","57623","2045","57623","1386","780","326","261","1082","77.0"
"0500000US01011","Bullock County, Alabama","5.7","22.2","70.9","0.0","0.1","0.3","0.0","0.8","15.0","26.9","32033","21.6","8.5","5.0","1.6","0.2","3741","9.8","10746","460","10746","174","39","53","101","226","67.8"
"0500000US01013","Butler County, Alabama","1.1","53.9","43.8","0.1","0.5","0.0","0.0","0.6","14.8","24.0","29918","28.4","3.2","1.4","0.5","0.3","8235","10.3","20624","40","20624","413","244","53","202","315","76.3"
"0500000US01015","Calhoun County, Alabama","3.4","73.5","20.6","0.3","0.7","0.0","0.0","1.6","14.2","22.5","39962","21.9","10.0","4.1","2.2","0.2","45196","7.4","117714","2097","117714","2296","1862","1184","1004","2197","78.6"
"0500000US01017","Chambers County, Alabama","0.5","58.0","40.2","0.1","0.5","0.0","0.0","0.6","17.2","24.6","32402","24.1","9.7","2.5","1.9","0.1","13722","10.7","34145","261","34145","696","414","272","214","543","75.1"
"0500000US01019","Cherokee County, Alabama","1.4","92.0","4.7","0.5","0.3","0.0","0.0","1.2","10.5","26.9","34907","21.2","4.8","2.9","1.6","0.1","11656","6.9","26034","52","26034","488","319","46","311","305","78.3"
"0500000US01021","Chilton County, Alabama","7.7","81.0","9.8","0.3","0.2","0.0","0.0","0.9","10.3","31.8","41250","19.5","7.9","2.0","1.2","0.2","16232","7.3","43744","1806","43744","875","536","268","227","833","76.0"
"0500000US01023","Choctaw County, Alabama","0.3","55.6","42.8","0.0","0.1","0.0","0.0","1.2","14.1","33.4","33941","21.5","5.3","1.6","1.7","0.0","5518","6.9","13687","11","13687","284","257","40","62","213","75.2"
"0500000US01025","Clarke County, Alabama","0.5","53.7","44.3","0.5","0.1","0.3","0.0","0.6","18.9","25.5","29357","29.3","5.5","1.2","0.6","0.2","9631","10.9","25573","46","25573","603","336","131","126","461","78.3"
"0500000US01027","Clay County, Alabama","3.0","80.1","15.3","0.1","0.0","0.0","0.0","1.6","12.9","30.7","34002","19.0","5.2","4.2","2.3","0.0","5649","8.9","13703","300","13703","304","152","48","56","265","76.5"
"0500000US01029","Cleburne County, Alabama","2.1","92.8","3.5","0.2","0.3","0.0","0.0","1.0","11.2","31.4","38019","18.4","7.0","2.4","1.5","0.0","5601","5.9","14945","118","14945","295","171","81","75","261","76.0"
"0500000US01031","Coffee County, Alabama","6.4","72.0","16.8","0.6","1.4","0.0","0.1","2.7","7.7","21.3","43768","18.6","6.4","3.8","5.6","0.9","18820","8.5","50468","1716","50468","976","625","318","167","1160","82.4"
