"Geo ID","Geography","P2_P2001","P2_P2002","P2_P2005"
"County ID","County","Total:","Urban:","Rural"
"0500000US01001","Autauga County, Alabama","54571","31650","22921"
"0500000US01003","Baldwin County, Alabama","182265","105205","77060"
"0500000US01005","Barbour County, Alabama","27457","8844","18613"
"0500000US01007","Bibb County, Alabama","22915","7252","15663"
"0500000US01009","Blount County, Alabama","57322","5760","51562"
"0500000US01011","Bullock County, Alabama","10914","5307","5607"
"0500000US01013","Butler County, Alabama","20947","6026","14921"
"0500000US01015","Calhoun County, Alabama","118572","78617","39955"
"0500000US01017","Chambers County, Alabama","34215","17399","16816"
"0500000US01019","Cherokee County, Alabama","25989","3707","22282"
"0500000US01021","Chilton County, Alabama","43643","5785","37858"
"0500000US01023","Choctaw County, Alabama","13859","0","13859"
"0500000US01025","Clarke County, Alabama","25833","6205","19628"
"0500000US01027","Clay County, Alabama","13932","0","13932"
"0500000US01029","Cleburne County, Alabama","14972","0","14972"
"0500000US01031","Coffee County, Alabama","49948","26375","23573"
"0500000US01033","Colbert County, Alabama","54428","30537","23891"
"0500000US01035","Conecuh County, Alabama","13228","2520","10708"
"0500000US01037","Coosa County, Alabama","11539","0","11539"
"0500000US01039","Covington County, Alabama","37765","11461","26304"
"0500000US01041","Crenshaw County, Alabama","13906","0","13906"
"0500000US01043","Cullman County, Alabama","80406","21517","58889"
"0500000US01045","Dale County, Alabama","50251","24679","25572"
"0500000US01047","Dallas County, Alabama","43820","23821","19999"
"0500000US01049","DeKalb County, Alabama","71109","7018","64091"
"0500000US01051","Elmore County, Alabama","79303","36330","42973"
"0500000US01053","Escambia County, Alabama","38319","13982","24337"
"0500000US01055","Etowah County, Alabama","104430","65286","39144"
"0500000US01057","Fayette County, Alabama","17241","3408","13833"
"0500000US01059","Franklin County, Alabama","31704","9395","22309"
"0500000US01061","Geneva County, Alabama","26790","2775","24015"
"0500000US01063","Greene County, Alabama","9045","0","9045"
"0500000US01065","Hale County, Alabama","15760","1707","14053"
"0500000US01067","Henry County, Alabama","17302","2119","15183"
"0500000US01069","Houston County, Alabama","101547","67220","34327"
"0500000US01071","Jackson County, Alabama","53227","12233","40994"
"0500000US01073","Jefferson County, Alabama","658466","593714","64752"
"0500000US01075","Lamar County, Alabama","14564","0","14564"
"0500000US01077","Lauderdale County, Alabama","92709","47008","45701"
"0500000US01079","Lawrence County, Alabama","34339","2991","31348"
"0500000US01081","Lee County, Alabama","140247","101806","38441"
"0500000US01083","Limestone County, Alabama","82782","35092","47690"
"0500000US01085","Lowndes County, Alabama","11299","0","11299"
"0500000US01087","Macon County, Alabama","21452","9536","11916"
"0500000US01089","Madison County, Alabama","334811","279763","55048"
"0500000US01091","Marengo County, Alabama","21027","6452","14575"
"0500000US01093","Marion County, Alabama","30776","3430","27346"
"0500000US01095","Marshall County, Alabama","93019","43469","49550"
"0500000US01097","Mobile County, Alabama","412992","330310","82682"
"0500000US01099","Monroe County, Alabama","23068","4834","18234"
"0500000US01101","Montgomery County, Alabama","229363","205300","24063"
